barangay,totalVoters,funded,verified,added,total,mayoral_votes,mayoral_efficiency%,mayoral_missing,mayoral_missingRate%,mayoral_labtic,mayoral_bebot,mayoral_mayoria,congressional_votes,congressional_efficiency%,congressional_missing,congressional_missingRate%,congressional_anna,congressional_wing,congressional_mayoria,board_member_allan_votes,board_member_allan_efficiency%,board_member_allan_missing,board_member_allan_missingRate%,board_member_allan_allan,board_member_allan_bimbim,board_member_allan_mayoria,board_member_chingay_votes,board_member_chingay_efficiency%,board_member_chingay_missing,board_member_chingay_missingRate%,board_member_chingay_chingay,board_member_chingay_bimbim,board_member_chingay_mayoria,tagCounts_declined,tagCounts_confirm,tagCounts_verified,tagCounts_sure_vote,tagCounts_undecided,tagCounts_voted
Banat-e,1778,921,610,18,628,724,115.29,311,33.77,724,787,63,685,109.08,311,33.77,685,781,96,699,111.31,311,33.77,699,638,-61,701,111.62,311,33.77,701,638,-63,846,1457,628,43,25,0
Basud,1959,1070,810,22,832,861,103.49,260,24.3,861,821,-40,825,99.16,260,24.3,825,833,8,843,101.32,260,24.3,843,786,-57,802,96.39,260,24.3,802,786,-16,853,1721,832,240,37,0
Bawod (Pob.),1112,588,464,21,485,461,95.05,124,21.09,461,508,47,435,89.69,124,21.09,435,514,79,494,101.86,124,21.09,494,448,-46,432,89.07,124,21.09,432,448,16,535,868,485,474,11,0
Biasong,2071,876,755,38,793,835,105.3,121,13.81,835,965,130,808,101.89,121,13.81,808,966,158,833,105.04,121,13.81,833,887,54,796,100.38,121,13.81,796,887,91,1163,1282,793,22,32,0
Bunacan,775,275,239,29,268,300,111.94,36,13.09,300,343,43,253,94.4,36,13.09,253,372,119,257,95.9,36,13.09,257,375,118,256,95.52,36,13.09,256,375,119,499,344,268,266,2,0
Busay,1310,471,388,37,425,378,88.94,83,17.62,378,729,351,360,84.71,83,17.62,360,720,360,392,92.24,83,17.62,392,628,236,357,84,83,17.62,357,628,271,838,708,425,366,20,0
Cabungaan,752,365,319,11,330,310,93.94,46,12.6,310,347,37,303,91.82,46,12.6,303,352,49,302,91.52,46,12.6,302,318,16,299,90.61,46,12.6,299,318,19,395,591,330,316,4,0
Capiñahan (Pob.),1427,719,566,36,602,583,96.84,153,21.28,583,613,30,554,92.03,153,21.28,554,617,63,694,115.28,153,21.28,694,512,-182,550,91.36,153,21.28,550,512,-38,701,1139,602,553,18,1
Crossing (Pob.),1874,947,749,51,800,815,101.88,200,21.12,815,814,-1,760,95,200,21.12,760,823,63,793,99.13,200,21.12,793,741,-52,737,92.13,200,21.12,737,741,4,954,1478,798,591,18,413
Daja-daku,1442,401,341,31,372,342,91.94,60,14.96,342,887,545,335,90.05,60,14.96,335,866,531,364,97.85,60,14.96,364,756,392,343,92.2,60,14.96,343,756,413,1047,646,372,283,14,0
Daja-diot,1227,664,548,28,576,548,95.14,116,17.47,548,504,-44,522,90.63,116,17.47,522,504,-18,568,98.61,116,17.47,568,457,-111,525,91.15,116,17.47,525,457,-68,563,1036,576,558,20,0
Hacienda Maria,1380,682,567,25,592,561,94.76,115,16.86,561,614,53,530,89.53,115,16.86,530,617,87,560,94.59,115,16.86,560,573,13,542,91.55,115,16.86,542,573,31,682,1109,592,553,34,38
Linao,1180,74,58,13,71,72,101.41,16,21.62,72,962,890,63,88.73,16,21.62,63,957,894,87,122.54,16,21.62,87,859,772,74,104.23,16,21.62,74,859,785,1100,76,71,13,5,0
Matungao,637,185,161,15,176,170,96.59,24,12.97,170,407,237,168,95.45,24,12.97,168,409,241,178,101.14,24,12.97,178,380,202,165,93.75,24,12.97,165,380,215,440,307,176,162,6,0
Paril,879,271,242,10,252,245,97.22,29,10.7,245,507,262,240,95.24,29,10.7,240,504,264,251,99.6,29,10.7,251,469,218,231,91.67,29,10.7,231,469,238,607,448,252,242,16,0
San Jose,764,273,225,11,236,232,98.31,48,17.58,232,415,183,228,96.61,48,17.58,228,416,188,229,97.03,48,17.58,229,368,139,220,93.22,48,17.58,220,368,148,476,456,236,220,18,3
San Miguel,695,211,165,43,208,204,98.08,46,21.8,204,392,188,196,94.23,46,21.8,196,373,177,207,99.52,46,21.8,207,369,162,195,93.75,46,21.8,195,369,174,436,229,208,203,12,0
Taglawigan,737,371,307,10,317,300,94.64,64,17.25,300,343,43,296,93.38,64,17.25,296,332,36,295,93.06,64,17.25,295,309,14,380,119.87,64,17.25,380,309,-71,355,581,317,316,14,0
Tinago,868,275,204,13,217,214,98.62,71,25.82,214,528,314,200,92.17,71,25.82,200,523,323,208,95.85,71,25.82,208,503,295,206,94.93,71,25.82,206,503,297,586,418,217,216,15,0
